umidade;temperatura;pressao;vento_ang;vent_veloc;chuva;corrente_fuga;A;B;C;K;Uc
62;32,5;1015;67;2,2;0;0,034359;0,08608373;0,0868483;5,640554194;1,485559943;19150,09724
61;32,6;1015;21;3,4;0;0,035546;0,08608373;0,088335736;5,623572374;1,484098084;18684,38135
61;32,7;1015;32;1,6;0;0,03471;0,08608373;0,087290779;5,635472275;1,485122472;19009,52602
61;32,8;1015;77;3,9;0;0,034285;0,08608373;0,086754725;5,64163222;1,485652743;19180,0498
62;32,9;1015;49;2,8;0;0,034238;0,08608373;0,086695241;5,642318121;1,485711788;19199,13167
62;32,9;1015;51;4,5;0;0,033741;0,08608373;0,086063705;5,649629333;1,486341165;19403,71267
61;32,9;1015;54;2,2;0;0,033742;0,08608373;0,08606498;5,649614514;1,486339889;19403,29583
61;33;1015;79;2,6;0;0,03355;0,08608373;0,085819766;5,652467758;1,486585507;19483,72247
60;33,1;1015;56;3,6;0;0,032381;0,08608373;0,084311379;5,670200275;1,488111988;19991,08193
60;33,1;1015;59;3;0;0,032326;0,08608373;0,084239746;5,67105026;1,488185158;20015,73028
60;33,1;1015;36;4,7;0;0,032319;0,08608373;0,084230624;5,671158544;1,488194479;20018,87253
60;33,1;1015;55;3,7;0;0,032737;0,08608373;0,084773576;5,664733222;1,487641364;19833,26831
60;33,1;1015;85;2,6;0;0,034278;0,08608373;0,086745869;5,641734316;1,485661532;19182,88893
61;33,2;1015;57;4,5;0;0,034134;0,08608373;0,086563469;5,643839213;1,485842729;19241,51634
60;33,1;1015;42;3,6;0;0,033691;0,08608373;0,085999913;5,65037082;1,486404995;19424,58207
61;32,9;1015;56;3,6;0;0,034237;0,08608373;0,086693975;5,642332725;1,485713045;19199,53816
62;32,7;1015;58;3,6;0;0,035576;0,08608373;0,088373005;5,623150563;1,484061773;18672,9586
62;32,6;1015;57;3,9;0;0,033465;0,08608373;0,085710983;5,653736132;1,486694693;19519,58194
63;32,7;1015;54;3,9;0;0,033509;0,08608373;0,085767311;5,65307916;1,486638139;19500,99981
62;32,6;1015;41;3,9;0;0,035303;0,08608373;0,088033277;5,627002217;1,484393338;18777,52199
62;32,5;1015;41;3,9;0;0,035546;0,08608373;0,088335736;5,623572374;1,484098084;18684,38135
63;32,4;1015;118;4,7;0;0,03441;0,08608373;0,086912731;5,63981258;1,485496102;19129,51891
63;32,3;1015;71;3,7;0;0,034649;0,08608373;0,087214042;5,636351757;1,485198181;19033,77947
64;32,4;1015;53;3,9;0;0,033904;0,08608373;0,086271338;5,647219689;1,486133734;19336,04704
64;32,4;1015;65;4,5;0;0,034457;0,08608373;0,086972067;5,639130105;1,485437352;19110,60107
64;32,2;1015;68;3,6;0;0,034223;0,08608373;0,086676248;5,642537224;1,485730649;19205,23114
64;32,2;1015;48;4,7;0;0,034381;0,08608373;0,0868761;5,640234147;1,485532392;19141,21386
64;32,1;1015;43;5,7;0;0,033395;0,08608373;0,085621294;5,654783096;1,48678482;19549,23138
64;32;1015;55;4,7;0;0,033022;0,08608373;0,085141785;5,660399187;1,487268274;19709,04547
65;31,9;1015;13;3,7;0;0,033622;0,08608373;0,085911803;5,651395883;1,486493236;19453,46969
64;32;1015;60;4,7;0;0,034436;0,08608373;0,086945561;5,639434926;1,485463592;19119,04822
65;31,9;1015;74;5,7;0;0,034818;0,08608373;0,087426476;5,633918943;1,484988756;18966,76523
65;31,7;1015;51;5,9;0;0,035743;0,08608373;0,088580181;5,620808967;1,4838602;18609,67419
65;31,7;1015;56;5,1;0;0,034958;0,08608373;0,087602067;5,63191252;1,484816035;18911,67371
65;31,5;1015;40;3,7;0;0,034645;0,08608373;0,087209008;5,636409483;1,485203151;19035,37243
66;31,6;1015;20;3,4;0;0,034824;0,08608373;0,087434009;5,633832788;1,484981339;18964,39633
66;31,6;1015;50;5,3;0;0,035253;0,08608373;0,087970914;5,627710874;1,484454342;18796,82398
66;31,7;1015;74;4,9;0;0,034707;0,08608373;0,087287007;5,635515492;1,485126193;19010,7171
66;31,7;1015;37;3,7;0;0,035849;0,08608373;0,088711431;5,619328354;1,483732743;18569,76947
65;31,8;1015;57;3,7;0;0,035469;0,08608373;0,088240007;5,624656652;1,484191423;18713,77597
65;31,8;1015;76;2,8;0;0,035896;0,08608373;0,088769565;5,618673256;1,48367635;18552,14089
65;31,8;1015;85;3,7;0;0,035804;0,08608373;0,088655735;5,619956381;1,483786806;18586,68527
65;31,8;1015;19;4,9;0;0,03486;0,08608373;0,08747919;5,63331617;1,484936867;18950,19772
65;31,8;1015;77;3,9;0;0,034952;0,08608373;0,087594548;5,631998344;1,484823423;18914,02697
65;31,8;1015;47;3,7;0;0,035094;0,08608373;0,087772304;5,629971102;1,484648911;18858,51926
65;31,9;1015;41;4,5;0;0,034683;0,08608373;0,087256822;5,635861363;1,485155966;19020,25208
64;31,9;1015;69;3,4;0;0,034293;0,08608373;0,086764846;5,641515564;1,485642701;19176,80632
64;31,8;1015;60;2,4;0;0,033118;0,08608373;0,085265455;5,658947719;1,487143326;19667,61721
65;31,8;1015;57;4,5;0;0,033372;0,08608373;0,085591804;5,655127578;1,486814474;19558,99674
65;31,9;1015;58;4,5;0;0,033213;0,08608373;0,085387661;5,657515507;1,487020036;19626,82381
65;31,9;1015;38;3,6;0;0,033632;0,08608373;0,085924578;5,651247193;1,486480436;19449,27675
64;31,9;1015;89;2,8;0;0,035607;0,08608373;0,088411499;5,622715066;1,484024284;18661,17252
64;32;1015;75;4,9;0;0,034935;0,08608373;0,087573244;5,632241594;1,484844363;18920,69833
65;32;1015;65;4,3;0;0,035574;0,08608373;0,08837052;5,623178673;1,484064193;18673,7196
64;32;1015;86;3,6;0;0,035208;0,08608373;0,087914749;5,628349525;1,484509319;18814,23617
63;32;1014;56;4,9;0;0,034764;0,08608373;0,087358654;5,634695006;1,485055562;18988,117
